AnzscoCode,Level,Date,NoOfVacancies,State,Title
5A,3,01/04/2006,607.08,WA,"Office Managers, Administrators and Secretaries"
5B,3,01/04/2006,1810.8,WA,"General-Inquiry Clerks, Call Centre Workers, and Receptionists"
6,2,01/04/2006,1734.72,WA,SALES WORKERS
61,3,01/04/2006,448.99,WA,Sales Representatives and Agents
62,3,01/04/2006,1133.51,WA,Sales Assistants and Salespersons
63,3,01/04/2006,171.63,WA,Sales Support Workers
7,2,01/04/2006,1518.32,WA,MACHINERY OPERATORS AND DRIVERS
71,3,01/04/2006,326.63,WA,Machine and Stationary Plant Operators
72,3,01/04/2006,354.98,WA,Mobile Plant Operators
7A,3,01/04/2006,852.94,WA,Drivers and Storepersons
8,2,01/04/2006,3068.24,WA,LABOURERS
81,3,01/04/2006,531.38,WA,Cleaners and Laundry Workers
82,3,01/04/2006,286.68,WA,Construction and Mining Labourers
83,3,01/04/2006,422.65,WA,Factory Process Workers
84,3,01/04/2006,168.09,WA,"Farm, Forestry and Garden Workers"
85,3,01/04/2006,253.83,WA,Food Preparation Assistants
89,3,01/04/2006,1383.14,WA,Other Labourers
0,1,01/04/2006,2832.68,TAS,TAS TOTAL
1,2,01/04/2006,199.35,TAS,MANAGERS
11,3,01/04/2006,8.36,TAS,"Chief Executives, Managing Directors & Legislators"
12,3,01/04/2006,8.52,TAS,Farmers and Farm Managers
14,3,01/04/2006,60.54,TAS,"Hospitality, Retail and Service Managers"
1A,3,01/04/2006,45.98,TAS,Corporate Managers
1B,3,01/04/2006,64.2,TAS,"Construction, Production and Distribution Managers"
1C,3,01/04/2006,20.33,TAS,"Health, Education, ICT and Other Managers"
2,2,01/04/2006,417.34,TAS,PROFESSIONALS
21,3,01/04/2006,6.69,TAS,Arts and Media Professionals
24,3,01/04/2006,30.15,TAS,Education Professionals
26,3,01/04/2006,22.08,TAS,ICT Professionals
27,3,01/04/2006,56.18,TAS,"Legal, Social and Welfare Professionals"
2A,3,01/04/2006,76.96,TAS,"Business, Finance and Human Resource Professionals"
2B,3,01/04/2006,14.02,TAS,Information Professionals
2C,3,01/04/2006,10.26,TAS,"Sales, Marketing & Public Relations Professionals"
2D,3,01/04/2006,18.85,TAS,"Transport and Design Professionals, and Architects"
2E,3,01/04/2006,37.52,TAS,Engineers
2F,3,01/04/2006,20.94,TAS,Science Professionals and Veterinarians
2G,3,01/04/2006,36.73,TAS,Health Diagnostic and Therapy Professionals
2H,3,01/04/2006,82.83,TAS,Medical Practitioners and Nurses
3,2,01/04/2006,338.9,TAS,TECHNICIANS AND TRADES WORKERS
31,3,01/04/2006,34.42,TAS,"Engineering, ICT and Science Technicians"
32,3,01/04/2006,86.67,TAS,Automotive and Engineering Trades Workers
33,3,01/04/2006,46.47,TAS,Construction Trades Workers
34,3,01/04/2006,25.73,TAS,Electrotechnology and Telecommunications Trades Workers
35,3,01/04/2006,95.59,TAS,Food Trades Workers
36,3,01/04/2006,16.16,TAS,Skilled Animal and Horticultural Workers
3A,3,01/04/2006,20.17,TAS,"Hairdressers, Printing, Clothing and Wood Trades Workers"
3B,3,01/04/2006,7.57,TAS,"Jewellers, Arts and Other Trades Workers"
4,2,01/04/2006,254.13,TAS,COMMUNITY AND PERSONAL SERVICE WORKERS
41,3,01/04/2006,23.04,TAS,Health and Welfare Support Workers
42,3,01/04/2006,66.8,TAS,Carers and Aides
43,3,01/04/2006,123.73,TAS,Hospitality Workers
44,3,01/04/2006,27.5,TAS,Protective Service Workers
45,3,01/04/2006,16.91,TAS,"Sports, Travel and Personal Service Workers"
5,2,01/04/2006,338.65,TAS,CLERICAL AND ADMINISTRATIVE WORKERS
55,3,01/04/2006,44.22,TAS,Numerical Clerks
56,3,01/04/2006,9.74,TAS,Clerical and Office Support Workers
59,3,01/04/2006,22.74,TAS,Other Clerical and Administrative Workers
5A,3,01/04/2006,39.1,TAS,"Office Managers, Administrators and Secretaries"
5B,3,01/04/2006,224.29,TAS,"General-Inquiry Clerks, Call Centre Workers, and Receptionists"
6,2,01/04/2006,338.9,TAS,SALES WORKERS
61,3,01/04/2006,76.38,TAS,Sales Representatives and Agents
62,3,01/04/2006,233.69,TAS,Sales Assistants and Salespersons
63,3,01/04/2006,39.98,TAS,Sales Support Workers
7,2,01/04/2006,194.51,TAS,MACHINERY OPERATORS AND DRIVERS
71,3,01/04/2006,26.6,TAS,Machine and Stationary Plant Operators
72,3,01/04/2006,20.7,TAS,Mobile Plant Operators
7A,3,01/04/2006,150.71,TAS,Drivers and Storepersons
8,2,01/04/2006,788.98,TAS,LABOURERS
81,3,01/04/2006,73.68,TAS,Cleaners and Laundry Workers
82,3,01/04/2006,66.77,TAS,Construction and Mining Labourers
83,3,01/04/2006,73.53,TAS,Factory Process Workers
84,3,01/04/2006,93.94,TAS,"Farm, Forestry and Garden Workers"
